 
      #t(days)          N(t)     N(t) True         error
  0.389000E+01  0.103966E+04  0.103967E+04  0.194487E-05
  0.390000E+01  0.103977E+04  0.103977E+04  0.194987E-05
  0.391000E+01  0.103987E+04  0.103987E+04  0.195487E-05
  0.392000E+01  0.103998E+04  0.103998E+04  0.195987E-05
  0.393000E+01  0.104008E+04  0.104008E+04  0.196487E-05
  0.394000E+01  0.104018E+04  0.104019E+04  0.196987E-05
  0.395000E+01  0.104029E+04  0.104029E+04  0.197487E-05
  0.396000E+01  0.104039E+04  0.104039E+04  0.197987E-05
  0.397000E+01  0.104050E+04  0.104050E+04  0.198487E-05
  0.398000E+01  0.104060E+04  0.104060E+04  0.198987E-05
  0.399000E+01  0.104070E+04  0.104071E+04  0.199486E-05
  0.400000E+01  0.104081E+04  0.104081E+04  0.199986E-05
  0.401000E+01  0.104091E+04  0.104091E+04  0.200486E-05
  0.402000E+01  0.104102E+04  0.104102E+04  0.200986E-05
  0.403000E+01  0.104112E+04  0.104112E+04  0.201486E-05
  0.404000E+01  0.104123E+04  0.104123E+04  0.201986E-05
  0.405000E+01  0.104133E+04  0.104133E+04  0.202486E-05
  0.406000E+01  0.104143E+04  0.104144E+04  0.202986E-05
  0.407000E+01  0.104154E+04  0.104154E+04  0.203486E-05
  0.408000E+01  0.104164E+04  0.104164E+04  0.203986E-05
  0.409000E+01  0.104175E+04  0.104175E+04  0.204486E-05
  0.410000E+01  0.104185E+04  0.104185E+04  0.204986E-05
  0.411000E+01  0.104195E+04  0.104196E+04  0.205486E-05
  0.412000E+01  0.104206E+04  0.104206E+04  0.205986E-05
  0.413000E+01  0.104216E+04  0.104216E+04  0.206486E-05
  0.414000E+01  0.104227E+04  0.104227E+04  0.206986E-05
  0.415000E+01  0.104237E+04  0.104237E+04  0.207486E-05
  0.416000E+01  0.104248E+04  0.104248E+04  0.207986E-05
  0.417000E+01  0.104258E+04  0.104258E+04  0.208486E-05
  0.418000E+01  0.104268E+04  0.104269E+04  0.208986E-05
  0.419000E+01  0.104279E+04  0.104279E+04  0.209486E-05
