              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.146784E-09   -0.998335E-01    0.364281E-06   -0.998335E-01    0.364281E-06   -0.998324E-01    0.973742E-05
    0.117427E-09   -0.998336E-01    0.225835E-05   -0.998336E-01    0.225835E-05   -0.998349E-01    0.148855E-04
    0.939417E-10   -0.998344E-01    0.936111E-05   -0.998344E-01    0.936111E-05   -0.998328E-01    0.642280E-05
    0.751534E-10   -0.998344E-01    0.936111E-05   -0.998329E-01    0.543631E-05   -0.998309E-01    0.251662E-04
    0.601227E-10   -0.998344E-01    0.936111E-05   -0.998325E-01    0.913566E-05   -0.998300E-01    0.337980E-04
    0.480982E-10   -0.998339E-01    0.473692E-05   -0.998339E-01    0.473692E-05   -0.998308E-01    0.260910E-04
    0.384785E-10   -0.998345E-01    0.105172E-04   -0.998345E-01    0.105172E-04   -0.998383E-01    0.490521E-04
    0.307828E-10   -0.998352E-01    0.177425E-04   -0.998352E-01    0.177425E-04   -0.998400E-01    0.659111E-04
    0.246263E-10   -0.998361E-01    0.267741E-04   -0.998361E-01    0.267741E-04   -0.998421E-01    0.869849E-04
    0.197010E-10   -0.998361E-01    0.267741E-04   -0.998305E-01    0.296736E-04   -0.998229E-01    0.104937E-03
    0.157608E-10   -0.998375E-01    0.408860E-04   -0.998375E-01    0.408860E-04   -0.998469E-01    0.134965E-03
    0.126086E-10   -0.998340E-01    0.560621E-05   -0.998252E-01    0.825933E-04   -0.998369E-01    0.350060E-04
    0.100869E-10   -0.998406E-01    0.717558E-04   -0.998406E-01    0.717558E-04   -0.998259E-01    0.752433E-04
    0.806953E-11   -0.998433E-01    0.993181E-04   -0.998433E-01    0.993181E-04   -0.998617E-01    0.283067E-03
    0.645562E-11   -0.998502E-01    0.168224E-03   -0.998330E-01    0.404061E-05   -0.998559E-01    0.225646E-03
    0.516450E-11   -0.998545E-01    0.211290E-03   -0.998545E-01    0.211290E-03   -0.998258E-01    0.758175E-04
    0.413160E-11   -0.998545E-01    0.211290E-03   -0.998276E-01    0.578733E-04   -0.997918E-01    0.416758E-03
    0.330528E-11   -0.998612E-01    0.278581E-03   -0.998612E-01    0.278581E-03   -0.999060E-01    0.727187E-03
    0.264422E-11   -0.998444E-01    0.110354E-03   -0.998024E-01    0.310214E-03   -0.998584E-01    0.250543E-03
    0.211538E-11   -0.998759E-01    0.425780E-03   -0.998759E-01    0.425780E-03   -0.998059E-01    0.275167E-03
    0.169230E-11   -0.998497E-01    0.162925E-03   -0.997841E-01    0.494212E-03   -0.998716E-01    0.381971E-03
    0.135384E-11   -0.998825E-01    0.491493E-03   -0.998005E-01    0.329928E-03   -0.999098E-01    0.765301E-03
    0.108307E-11   -0.998415E-01    0.807827E-04   -0.997390E-01    0.945994E-03   -0.998757E-01    0.423042E-03
    0.866459E-12   -0.999440E-01    0.110756E-02   -0.998159E-01    0.175912E-03   -0.996450E-01    0.188721E-02
    0.693167E-12   -0.999440E-01    0.110756E-02   -0.997838E-01    0.496779E-03   -0.995703E-01    0.263590E-02
    0.554534E-12   -0.999039E-01    0.706475E-03   -0.999039E-01    0.706475E-03   -0.996370E-01    0.196742E-02
    0.443627E-12   -0.998539E-01    0.205119E-03   -0.998539E-01    0.205119E-03   -0.995202E-01    0.313725E-02
    0.354902E-12   -0.100104E+00    0.271190E-02   -0.997913E-01    0.421576E-03   -0.993742E-01    0.459954E-02
    0.283921E-12   -0.100104E+00    0.271190E-02   -0.997131E-01    0.120494E-02   -0.991917E-01    0.642740E-02
    0.227137E-12   -0.100202E+00    0.369111E-02   -0.100202E+00    0.369111E-02   -0.100854E+00    0.102192E-01
    0.181710E-12   -0.100202E+00    0.369111E-02   -0.995909E-01    0.242896E-02   -0.987763E-01    0.105890E-01
    0.145368E-12   -0.100049E+00    0.216109E-02   -0.100049E+00    0.216109E-02   -0.990309E-01    0.803902E-02
    0.116294E-12   -0.100240E+00    0.407361E-02   -0.100240E+00    0.407361E-02   -0.101513E+00    0.168238E-01
    0.930354E-13   -0.100240E+00    0.407361E-02   -0.990468E-01    0.787964E-02   -0.974557E-01    0.238173E-01
    0.744283E-13   -0.999418E-01    0.108530E-02   -0.999418E-01    0.108530E-02   -0.979529E-01    0.188368E-01
    0.595426E-13   -0.100688E+00    0.855609E-02   -0.988230E-01    0.101209E-01   -0.101309E+00    0.147817E-01
    0.476341E-13   -0.100221E+00    0.388684E-02   -0.100221E+00    0.388684E-02   -0.971138E-01    0.272414E-01
    0.381073E-13   -0.101970E+00    0.213965E-01   -0.101970E+00    0.213965E-01   -0.980849E-01    0.175138E-01
    0.304858E-13   -0.101970E+00    0.213965E-01   -0.983277E-01    0.150819E-01   -0.934720E-01    0.637199E-01
    0.243887E-13   -0.100149E+00    0.315728E-02   -0.955964E-01    0.424408E-01   -0.101666E+00    0.183566E-01
    0.195109E-13   -0.102425E+00    0.259563E-01   -0.967345E-01    0.310413E-01   -0.104321E+00    0.449555E-01
    0.156087E-13   -0.106692E+00    0.687045E-01   -0.106692E+00    0.687045E-01   -0.972086E-01    0.262915E-01
    0.124870E-13   -0.106692E+00    0.687045E-01   -0.978014E-01    0.203542E-01   -0.859467E-01    0.139099E+00
