   #x=  30.00
             #h           3-point     Error             5-point          Error
        0.4844E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4602E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4372E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4153E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3946E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3748E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3561E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3383E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3214E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3053E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2900E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2755E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2618E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2487E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2362E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2244E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2132E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2025E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1924E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1828E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1737E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1650E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1567E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1489E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1414E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1344E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1277E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1213E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1152E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1094E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1040E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
