   #x=   1.00
             #h           3-point     Error             5-point          Error
        0.1497E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1422E-04      0.5120E+03    0.948618E+03        0.79E+03        0.15E+04
        0.1351E-04      0.5120E+03    0.948618E+03        0.87E+03        0.16E+04
        0.1284E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1220E-04      0.5120E+03    0.948618E+03        0.11E+04        0.20E+04
        0.1159E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1101E-04      0.1024E+04    0.189624E+04        0.13E+04        0.24E+04
        0.1046E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9933E-05      0.1024E+04    0.189624E+04        0.16E+04        0.30E+04
        0.9437E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8965E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8517E-05      0.2048E+04    0.379147E+04        0.22E+04        0.41E+04
        0.8091E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7686E-05      0.2048E+04    0.379147E+04        0.27E+04        0.50E+04
        0.7302E-05      0.2048E+04    0.379147E+04        0.30E+04        0.55E+04
        0.6937E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6590E-05      0.2048E+04    0.379147E+04        0.37E+04        0.68E+04
        0.6261E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5947E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5650E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5368E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5099E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4844E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4602E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4372E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.4153E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3946E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3748E-05      0.8192E+04    0.151629E+05        0.11E+05        0.21E+05
        0.3561E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3383E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3214E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3053E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2900E-05      0.1638E+05    0.303248E+05        0.19E+05        0.35E+05
        0.2755E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2618E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2487E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2362E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2244E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2132E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2025E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1924E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1828E-05      0.3277E+05    0.606485E+05        0.48E+05        0.88E+05
        0.1737E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1650E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1567E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1489E-05      0.6554E+05    0.121296E+06        0.72E+05        0.13E+06
        0.1414E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1344E-05      0.6554E+05    0.121296E+06        0.88E+05        0.16E+06
        0.1277E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1213E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1152E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1094E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1040E-05      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
